name,Wikipedia Link,location,status,security,security_class_cleaned,capacity,capacity_cleaned,pop,pop_cleaned,pop_measured_time,opened,year_opened,Notes Section,closed,managed_by,director,built,built by
Lorain Correctional Institution,https://en.wikipedia.org/wiki/Lorain_Correctional_Institution,"2075 South Avon-Belden Road, Grafton, Ohio",,,mixed,1089,1089,,1550,2020,1990,1990,"Population according to their COVID update 5.22.2020 https://coronavirus.ohio.gov/static/reports/DRCCOVID-19Information.pdf
It's been known as one of Ohio's most overcrowded prisons since 2013",,Ohio Department of Corrections,,,
Mansfield Correctional Institution,https://en.wikipedia.org/wiki/Mansfield_Correctional_Institution,"1150 North Main StreetMansfield, Ohio",open,mixed security,mixed,2523,2523,,2329,2020,1990,1990,Population according to their COVID update 5.22.2020 https://coronavirus.ohio.gov/static/reports/DRCCOVID-19Information.pdf,,Ohio Department of Rehabilitation and Correction,Edward Sheldon,,
North Central Correctional Complex,https://en.wikipedia.org/wiki/North_Central_Correctional_Complex,"670 Marion-Williamsport Rd East Marion, Ohio",open,medium and minimum,mixed,2893,2893,,2279,2020,1994,1994,Population according to their COVID update 5.22.2020 https://coronavirus.ohio.gov/static/reports/DRCCOVID-19Information.pdf,,Management and Training Corporation,,,
Ohio Reformatory for Women,https://en.wikipedia.org/wiki/Ohio_Reformatory_for_Women,"1479 Collins Avenue Marysville, Ohio",open,mixed,mixed,2011,2011,,2405,2020,1916,1916,Population according to their COVID update 5.22.2020 https://coronavirus.ohio.gov/static/reports/DRCCOVID-19Information.pdf,,Ohio Department of Rehabilitation and Correction,,,
Ohio State Penitentiary,https://en.wikipedia.org/wiki/Ohio_State_Penitentiary,"878 Coitsville-Hubbard Road Youngstown, Ohio",Closed,Mixed,mixed,502,502,,487,2019,1834,1834,"Couldn't find capacity. Population as of 7.1.19
https://drc.ohio.gov/osp",,Ohio Department of Rehabilitation and Correction,,,
Pickaway Correctional Institution,https://en.wikipedia.org/wiki/Pickaway_Correctional_Institution,"11781 OH-762 Orient, Ohio",Open,Mixed,mixed,2088,2088,,2065,2019,1984,1984,"Couldn't find capacity. Population as of 7.1.19 
https://www.drc.ohio.gov/pci",,Ohio Department of Rehabilitation and Correction,,,
Richland Correctional Institution,https://en.wikipedia.org/wiki/Richland_Correctional_Institution,"1001 Olivesburg Road Mansfield, Ohio",open,minimum and medium,mixed,2613,2613,,2566,2019,1998,1998,Couldn't find capacity. Population as of 7.1.19 https://www.drc.ohio.gov/rici,,Ohio Department of Rehabilitation and Correction,,,
Ross Correctional Institution,https://en.wikipedia.org/wiki/Ross_Correctional_Institution,"16149 State Route 104, Chillicothe, Ohio",,,mixed,2037,2037,,1873,2019,1987,1987,"Couldn't find capacity. Population as of 7.1.19 
https://drc.ohio.gov/rci",,Ohio Department of Corrections,Donnie Morgan,,
Southeastern Correctional Institution,https://en.wikipedia.org/wiki/Southeastern_Correctional_Institution,"5900 Boys Industrial School Road Hocking Township, Ohio",open,,mixed,2034,2034,,1460,2020,1980,1980,Population according to their COVID update 5.22.2020 https://coronavirus.ohio.gov/static/reports/DRCCOVID-19Information.pdf,,Ohio Department of Rehabilitation and Correction,,,
Trumbull Correctional Institution,https://en.wikipedia.org/wiki/Trumbull_Correctional_Institution,"5701 Burnett Road Leavittsburg, Ohio",mixed,,mixed,1529,1529,,1375,2020,1992,1992,Population according to their COVID update 5.22.2020 https://coronavirus.ohio.gov/static/reports/DRCCOVID-19Information.pdf,,Ohio Department of Rehabilitation and Correction,,,
Cimarron Correctional Facility (Private Prison),https://en.wikipedia.org/wiki/Cimarron_Correctional_Facility,"3200 S. Kings Highway, Cushing, Oklahoma",Open,medium and maximum security,mixed,1650,1650,,1514,2020,1997,1997,"Capacity and population from 5.18.20 report: http://doc.ok.gov/Websites/doc/images/Documents/Population/Count%20Sheet/2020/DOC%20OMS%20Count%20-%20May%2018,%202020.pdf",,Corrections Corporation of America,,,
James Crabtree Correctional Center,https://en.wikipedia.org/wiki/James_Crabtree_Correctional_Center,,Operational,Minimum and Medium,mixed,1133,1133,"1157 (as of April 10, 2017[1])",1153,2020,May 1982; 38 years ago,1982,"Capacity and population from 5.18.20 report: http://doc.ok.gov/Websites/doc/images/Documents/Population/Count%20Sheet/2020/DOC%20OMS%20Count%20-%20May%2018,%202020.pdf",,Oklahoma Department of Corrections,,,
Lexington Assessment and Reception Center,https://en.wikipedia.org/wiki/Lexington_Assessment_and_Reception_Center,,Operational,Maximum,mixed,,518,,57,2020,1978; 42 years ago,1977,"Capacity and population from 5.18.20 report: http://doc.ok.gov/Websites/doc/images/Documents/Population/Count%20Sheet/2020/DOC%20OMS%20Count%20-%20May%2018,%202020.pdf",,Oklahoma Department of Corrections,,,
Mabel Bassett Correctional Center,https://en.wikipedia.org/wiki/Mabel_Bassett_Correctional_Center,,Operational,Mixed,mixed,"1,291",1280,"1,304 (as of April 10, 2017[1])",1138,2020,1974; 46 years ago,1974,"Capacity and population from 5.18.20 report: http://doc.ok.gov/Websites/doc/images/Documents/Population/Count%20Sheet/2020/DOC%20OMS%20Count%20-%20May%2018,%202020.pdf",,Oklahoma Department of Corrections,,,
Mack Alford Correctional Center,https://en.wikipedia.org/wiki/Mack_Alford_Correctional_Center,,Operational,Medium & Minimum,mixed,933,760,"789[1] (as of April 10, 2017[1])",779,2020,1973; 47 years ago,1973,"Capacity and population from 5.18.20 report: http://doc.ok.gov/Websites/doc/images/Documents/Population/Count%20Sheet/2020/DOC%20OMS%20Count%20-%20May%2018,%202020.pdf",,Oklahoma Department of Corrections,,,
"Coffee Creek Correctional Facility, Wilsonville",https://en.wikipedia.org/wiki/Coffee_Creek_Correctional_Facility,"Wilsonville, Oregon, United States 45°20′29″N 122°47′23″W﻿ / ﻿45.34139°N 122.78972°WCoordinates: 45°20′29″N 122°47′23″W﻿ / ﻿45.34139°N 122.78972°W",Operational,Minimum and medium security,mixed,"1,685","1,685",,627,2020,2001,2001,Population from 5.1.2020 Report https://www.oregon.gov/doc/Documents/inmate-profile.pdf,,Oregon Department of Corrections,Rob Persson[1],,
"Two Rivers Correctional Institution, Umatilla",https://en.wikipedia.org/wiki/Two_Rivers_Correctional_Institution,"82911 Beach Access Road Umatilla, Oregon",open,minimum and medium,mixed,1632,1632,,1738,2020,1999,1999,Population from 5.1.2020 Report https://www.oregon.gov/doc/Documents/inmate-profile.pdf,,Oregon Department of Corrections,,,
Kirkland Correctional Institution,https://en.wikipedia.org/wiki/Kirkland_Correctional_Institution,"4344 Broad River Road Columbia, South Carolina",open,"mixed, including maximum",mixed,1781,1836,,1499,2020,1975,1975,Capacity and population as of 5.22.2020 http://www.doc.sc.gov/research/SystemOverview/population-report.pdf,,South Carolina Department of Corrections,,,
South Dakota State Penitentiary,https://en.wikipedia.org/wiki/South_Dakota_State_Penitentiary,"Sioux Falls, South Dakota",Open,"Maximum, Medium, Minimum",mixed,,,,724,2020,1881,1881,Could not find capacity. Population from 4.30.2020 https://doc.sd.gov/documents/AdultPopulationApril2020.pdf,,,,,
Bledsoe County Correctional Complex,https://en.wikipedia.org/wiki/Bledsoe_County_Correctional_Complex,"1045 Horsehead Road Pikeville, Tennessee",open,mixed (intake facility),mixed,2511,2488,,2372,2020,2013,2013,"Men's Capacity: 2194, Women's 294. Men's population 2106, Women's 266. Data from April  2020. Numbers added for Complex totals. Unclear if the annex is included in the report, this complex includes seceral sites and program facilities. 
https://www.tn.gov/content/dam/tn/correction/documents/BedApril2020.pdf",,Tennessee Department of Corrections,,,
Northeast Correctional Complex,https://en.wikipedia.org/wiki/Northeast_Correctional_Complex,"5249 Highway 67 West Mountain City, Tennessee",open,mixed,mixed,1819,1842,,1586,2020,March 1991,1991,Capacity and Population from April 2020 https://www.tn.gov/content/dam/tn/correction/documents/BedApril2020.pdf,,Tennessee Department of Correction,,,
Tennessee Prison for Women - Nashville,https://en.wikipedia.org/wiki/Tennessee_Prison_for_Women,"3881 Stewarts Lane Nashville, Tennessee",open,mixed,mixed,760,801,,715,2020,1966,1966,Capacity and Population from April 2020 https://www.tn.gov/content/dam/tn/correction/documents/BedApril2020.pdf,,Tennessee Department of Corrections,,,
Turney Center Industrial Complex - Only,https://en.wikipedia.org/wiki/Turney_Center_Industrial_Complex,"1499 R W Moore Memorial Rt Hwy Only, Tennessee",open,close / mixed,mixed,1693,1699,,1496,2020,1971,1971,"Capacity and population per April 2020 report: https://www.tn.gov/content/dam/tn/correction/documents/BedApril2020.pdf

Annex houses an additional 446 according to wikipedia. Annex is not in above report, but on TCIX's informatin page is listed separately, so I don't think that number is included in the capacity and population.",,Tennessee Department of Correction,,,
West Tennessee State Penitentiary - Henning,https://en.wikipedia.org/wiki/West_Tennessee_State_Penitentiary,"480 Green Chapel Road Henning, Tennessee",open,,mixed,,2280,,1869,2020,,1999,"Site 1 houses 914 men as of April 2020, capacity is 1,038, Site 2 houses 955 women as of May 2020, capacity is 1,242. Numbers have been added for total capacity and population of complex. Prison has opened, closed, and changed names since 1937, not sure the age of some of the buildings, etc.",,Tennessee Department of Correction,,,
Alfred D. Hughes Unit,https://en.wikipedia.org/wiki/Alfred_D._Hughes_Unit,"Route 2 Box 4400 Gatesville, Texas 76597",Operational,"G1-G5, Administrative Segregation, Safekeeping",mixed,2984,2984,,,,January 1990,1990,"Couldn't find current population. Emailed Texas  (prea.ombudsman@tdcj.texas.gov,
tci@tdcj.texas.gov) about current population. I (Kayla) will call as well if they don't answer shortly. ",,TDCJ Correctional Institutions Division,,,
Allan B. Polunsky Unit,https://en.wikipedia.org/wiki/Allan_B._Polunsky_Unit,"3872 FM 350 South Livingston, Texas 77351 USA",Operational,"G1-G5, Administrative Segregation, Death Row",mixed,2984,2984,,,,November 1993,1993,Couldn't find current population. ,,TDCJ Correctional Institutions Division,,,
Barry Telford Unit,https://en.wikipedia.org/wiki/Barry_Telford_Unit,"3899 State Hwy 98New Boston, Texas 75570",Operational,"G1-G5, Administrative segregation, safekeeping",mixed,2872,2872,,,,July 1995,1995,Couldn't find current population. ,,TDCJ Correctional Institutions Division,,,
Bartlett State Jail,https://en.wikipedia.org/wiki/Bartlett_State_Jail,"1018 Arnold Drive Bartlett, Texas",medium and minimum,,mixed,1049,1049,,,,1995,1995,CLOSED 2017,2017,Corrections Corporation of America,,,
Billy Moore Unit,https://en.wikipedia.org/wiki/Billy_Moore_Unit,"8500 FM 3053 North Overton, Texas",open,"G1, G2 (medium and minimum)",mixed,513,513,,,,June 1995,1995,Couldn't find current population. ,,Management and Training Corporation,,,
Bridgeport Unit,https://en.wikipedia.org/wiki/Bridgeport_Unit,"4000 North 10th Street Bridgeport, Texas",open,"G1, G2",mixed,519,519,,,,August 1989,1989,Couldn't find current population. ,,Management and Training Corporation,,,
Byrd Unit,https://en.wikipedia.org/wiki/James_H._Byrd_Jr._Unit,"21 FM 247Huntsville, Texas 77320",Operational,"G1, G2, Transient",mixed,1365,1365,,,,May 1964,1964,Couldn't find current population. ,,TDCJ Correctional Institutions Division,,,
Carol Vance Unit,https://en.wikipedia.org/wiki/Carol_Vance_Unit,"2 Jester RoadRichmond, Texas 77406",Operational,"G1, G2",mixed,378,378,,,,1855 - Brick Building 1933,1855,Brick Building 1933. Couldn't find current population.,,TDCJ Correctional Institutions Division,,,
Clarence N. Stevenson Unit,https://en.wikipedia.org/wiki/Clarence_N._Stevenson_Unit,"1525 F-M 766 Cuero, Texas",open,"G1, G2, G4",mixed,1384,1384,,,,April 1994,1994,Couldn't find current population. ,,Texas Department of Criminal Justice,,,
Clemens Unit,https://en.wikipedia.org/wiki/Clemens_Unit,"11034 Highway 36, Brazoria County, Texas 77422",Operational,"G1-G4, Administrative Segregation, Outside Trusty",mixed,1215,894,,,,1893,1893,Capacity listed is for main unit. Additional 321 for Trusty Camp. Couldn't find current population.,,Texas Department of Criminal Justice,,,
Cleveland Unit,https://en.wikipedia.org/wiki/Cleveland_Unit,"901 E 5th St Cleveland, Texas 77327",Operational,"G1, G2",mixed,520,520,,,,September 1989,1989,Couldn't find current population. ,,Management and Training Corporation (as of 2015),,,
Coffield Unit,https://en.wikipedia.org/wiki/Coffield_Unit,"2661 FM 2054Tennessee Colony, Texas 75884",Operational,"G1-G4, Administrative Segregation, Outside Trusty",mixed,1215,3818,,,,June 1965,1956,Capacity listed is for main unit. Additional 321 for Trusty Camp. Couldn't find current population.,,TDCJ Correctional Institutions Division,,,
Crain Unit,https://en.wikipedia.org/wiki/Christina_Melton_Crain_Unit,"1401 State School Road Gatesville, Texas 76599-2999",Operational,"G1-G5, Transient, Outside Trusty, Developmentally Disabled, Substance Abuse",mixed,2115,1498,,,,August 1980,1980,"Capacity listed is for main unit. Additional 8 for Boot Camp, 288 for SAFP, and 321 for Trusty Camp. Couldn't find current population.",,TDCJ Correctional Institutions Division,,,
Dalhart Unit,https://en.wikipedia.org/wiki/Dalhart_Unit,"11950 FM 998 Dalhart, Texas 79022",Operational,"G1, G2, G4",mixed,1520,1520,,,,February 1995,1995,Couldn't find current population. ,,TDCJ Correctional Institutions Division,,,
Daniel Webster Wallace Unit,https://en.wikipedia.org/wiki/Daniel_Webster_Wallace_Unit,"1675 South FM 3525 Colorado City, Texas",open,"G1, G2, G4",mixed,1428,1428,,,,May 1994,1994,Couldn't find current population. ,,Texas Department of Criminal Justice,,,
Darrington Unit,https://en.wikipedia.org/wiki/Darrington_Unit,"59 Darrington Road Rosharon, Texas 77583",Operational,"G1-G5, Administrative Segregation, Outside Trusty, Transient",mixed,1931,1610,,,,1933,1933,Capacity listed is for main unit. Additional 321 for Trusty Camp. Couldn't find current population.,,TDCJ Correctional Institutions Division,,,
Dolph Briscoe Unit,https://en.wikipedia.org/wiki/Dolph_Briscoe_Unit,"1459 West Highway 85 Dilley, Texas 78017",Operational,"G1, G2, G4",mixed,1384,1384,,,,January 1992,1992,Couldn't find current population. ,,TDCJ Correctional Institutions Division,,,
Dr. Lane Murray Unit,https://en.wikipedia.org/wiki/Dr._Lane_Murray_Unit,"1916 North Hwy 36 Bypass Gatesville, Texas 76596",Operational,"G1-G4, Administrative Segregation",mixed,1341,1341,,,,November 1995,1995,Couldn't find current population. ,,TDCJ Correctional Institutions Division,,,
East Texas Multi-Use Facility,https://en.wikipedia.org/wiki/East_Texas_Multi-Use_Facility,"900 Industrial Drive Henderson, Texas",open,mixed,mixed,2236,2236,,,,March 2004,2004,Couldn't find current population. ,,Management and Training Corporation,,,
Eastham Unit,https://en.wikipedia.org/wiki/Eastham_Unit,"2665 Prison Road #1Lovelady, Texas 75851",Operational,"G1-G4, Administrative Segregation, Outside Trusty, Transient",mixed,2474,2153,,,,April 1917,1917,Capacity listed is for main unit. Additional 321 for Trusty Camp. Couldn't find current population.,,TDCJ Correctional Institutions Division,,,
Ellis Unit,https://en.wikipedia.org/wiki/Ellis_Unit,"1697 FM 980Huntsville, Texas 77343",Operational,"G1-G5, Administrative Segregation, GRAD/ ASDP, Outside Trusty",mixed,2482,2073,,,,July 1965,1965,Capacity listed is for main unit. Additional 409 for Trusty Camp. Couldn't find current population.,,TDCJ Correctional Institutions Division,,,
Estes Unit,https://en.wikipedia.org/wiki/Estes_Unit,"1100 Highway 1807Venus, Texas 76084",Operational,,mixed,1040,1040,,,,1989,1989,Couldn't find current population. ,,Management & Training Corporation,,,
"Federal Medical Center, Carswell","https://en.wikipedia.org/wiki/Federal_Medical_Center,_Carswell","Fort Worth, Texas",Operational,All security levels (with minimum-security prison camp),mixed,,,"1,380 (280 in prison camp)",1224,2020,,,Additional 299 inmates in prison camp. Population from 5.21.2020 https://www.bop.gov/locations/institutions/crw/,,Federal Bureau of Prisons,,,
"Federal Medical Center, Fort Worth","https://en.wikipedia.org/wiki/Federal_Medical_Center,_Fort_Worth","Fort Worth, Tarrant County, Texas",Operational,Administrative Security,mixed,,1500,1500,1444,2020,1971,1971,Population from 5.21.2020 https://www.bop.gov/locations/institutions/ftw/,,Federal Bureau of Prisons,,,
Ferguson Unit,https://en.wikipedia.org/wiki/Ferguson_Unit,"12120 Savage DriveMidway, Texas 75852",Operational,"G2-G5, Administrative Segregation, Outside Trusty, Transient",mixed,2421,2100,,,,June 1962,1962,Capacity listed is for main unit. Additional 321 for Trusty Camp. Couldn't find current population.,,TDCJ Correctional Institutions Division,Wayne Brewer,,
French M. Robertson Unit,https://en.wikipedia.org/wiki/French_M._Robertson_Unit,"12071 FM 3522 Abilene, Texas 79601",Operational,"G1-G5, Restricted Housing, Transient",mixed,2984,2984,,,,September 1992,1992,Couldn't find current population. ,,TDCJ Correctional Institutions Division,,,
George Beto Unit,https://en.wikipedia.org/wiki/George_Beto_Unit,"1391 FM 3328 Tennessee Colony, Texas",Operational,"G1-G4, Administrative Segregation, Outside Trusty, Transient",mixed,3471,3150,,,,June 1980,1980,Capacity listed is for main unit. Additional 321 for Trusty Camp. Couldn't find current population.,,TDCJ Correctional Institutions Division,,,
Gib Lewis Unit,https://en.wikipedia.org/wiki/Gib_Lewis_Unit,"777 FM 3497Woodville, Texas 75990",Operational,"G1-G5, Administrative Segregation",mixed,2232,2232,"2,215 (as of August, 2013)",2215,2013,1990,1990,Couldn't find current population. ,,TDCJ Correctional Institutions Division,,,
Hilltop Unit,https://en.wikipedia.org/wiki/Hilltop_Unit,"1500 State School Road Gatesville, Texas 76598-2996",Operational,"G1-G3, Outside Trusty",mixed,555,341,,,,April 1981,1981,Capacity listed is for main unit. Additional 212 for Trusty Camp. Couldn't find current population.,,TDCJ Correctional Institutions Division,,,
Huntsville Unit,https://en.wikipedia.org/wiki/Huntsville_Unit,"815 12th StreetHuntsville, Texas 77342",Operational,"G1–G3, Administrative Segregation, Transient",mixed,1705,1705,,,,1849,1849,Couldn't find current population. ,,Texas Department of Criminal Justice,,,
Hutchins State Jail,https://en.wikipedia.org/wiki/Hutchins_State_Jail,"1500 East Langdon Road Dallas, Texas",Operational,mixed,mixed,2276,2276,,,,1995,1995,Couldn't find current population. ,,Texas Department of Criminal Justice,,,
James Lynaugh Unit,https://en.wikipedia.org/wiki/James_Lynaugh_Unit,"1098 South Highway 2037 Fort Stockton, Texas",open,"G1, G2, G4",mixed,1416,1416,,,,September 1994,1994,Couldn't find current population. ,,Texas Department of Criminal Justice,,,
James V. Allred Unit,https://en.wikipedia.org/wiki/James_V._Allred_Unit,"2101 FM 369 North Iowa Park, Texas 76367",Operational,"G1-G5, Administrative Segregation, Safekeeping",mixed,3722,3722,,,,June 1995,1995,Couldn't find current population. ,,TDCJ Correctional Institutions Division,,,
Jester III Unit,https://en.wikipedia.org/wiki/Jester_III_Unit,"3 Jester Road Richmond, Texas 77406",Operational,"G1-G3, Outside Trusty",mixed,1131,810,,,,July 1982,1982,Capacity listed is for main unit. Additional 321 for Trusty Camp. Couldn't find current population.,,TDCJ Correctional Institutions Division,,,
Jim Rudd Unit,https://en.wikipedia.org/wiki/Jim_Rudd_Unit,"2004 Lamesa Highway Brownfield, Texas",open,"G1, G2",mixed,612,612,,,,March 1995,1995,Couldn't find current population. ,,Texas Department of Criminal Justice,,,
John B. Connally Unit,https://en.wikipedia.org/wiki/John_B._Connally_Unit,"899 FM 632Kenedy, Texas 78119",,"G1-G5, Administrative Segregation",mixed,2232,2232,,,,July 1995,1995,Couldn't find current population. ,,TDCJ Correctional Institutions Division,,,
Kyle Unit,https://en.wikipedia.org/wiki/Kyle_Unit,"23001 I-35 Kyle, Texas",open,,mixed,520,520,,,,June 1989,1989,Couldn't find current population. ,,Management and Training Corporation,,,
L.V. Hightower Unit,https://en.wikipedia.org/wiki/L.V._Hightower_Unit,"902 FM 686 Dayton, Texas 77535",Operational,"G1, G2, G4",mixed,"1,384","1,384",,,,March 1990,1990,Couldn't find current population. ,,TDCJ Correctional Institutions Division,,,
Linda Woodman State Jail,https://en.wikipedia.org/wiki/Linda_Woodman_State_Jail,"1210 Coryell City Road, Gatesville, Texas 76528",Operational,"J1, J2, J4, Segregation G1, G2, Transient",mixed,900,900,,,,June 1997,1997,Couldn't find current population. ,,TDCJ Correctional Institutions Division,,,
Louie C. Powledge Unit,https://en.wikipedia.org/wiki/Louis_C._Powledge_Unit,"1400 FM 3452 Palestine, Texas 75803",Operational,"G2, G3, Administrative Segregation, Outside Trusty",mixed,1137,816,,,,July 1982,1982,Capacity listed is for main unit. Additional 321 for Trusty Camp. Couldn't find current population.,,TDCJ Correctional Institutions Division,,,
Mark W. Michael Unit,https://en.wikipedia.org/wiki/Mark_W._Michael_Unit,"2664 FM 2054Tennessee Colony, Texas 75886",Operational,"G1-G5, Administrative Segregation, Outside Trusty, Safekeeping",mixed,3305,2984,,,,September 1987,1987,Capacity listed is for main unit. Additional 321 for Trusty Camp. Couldn't find current population.,,TDCJ Correctional Institutions Division,,,
Mark W. Stiles Unit,https://en.wikipedia.org/wiki/Mark_Stiles_Unit,"3060 FM 3514Beaumont, Texas 77705",Operational,List of security classification of the Texas Department of Criminal Justice,mixed,2981,2981,,,,June 1993,1993,Couldn't find current population. ,,TDCJ Correctional Institutions Division,,,
Mountain View Unit,https://en.wikipedia.org/wiki/Mountain_View_Unit,"2305 Ransom Road Gatesville, Texas 76528",Operational,"G1-G5, Administrative Segregation, Death row",mixed,645,645,,,,July 1975,1975,Couldn't find current population. ,,TDCJ Correctional Institutions Division,,,
Nathaniel J. Neal Unit,https://en.wikipedia.org/wiki/Nathaniel_J._Neal_Unit,"9055 Spur 591 Amarillo, Texas",,"G1, G2, G4",mixed,1732,1732,,,,December 1994,1994,Couldn't find current population. ,,Texas Department of Criminal Justice,,,
O.L. Luther Unit,https://en.wikipedia.org/wiki/O.L._Luther_Unit,"1800 Luther Drive Navasota, Texas",open,"G1, G2, G3, Outside Trusty",mixed,1316,1316,,,,July 1982,1982,Capacity listed is for main unit. Additional 214 for Trusty Camp. Couldn't find current population.,,Texas Department of Criminal Justice,,,
Preston E. Smith Unit,https://en.wikipedia.org/wiki/Preston_E._Smith_Unit,"1313 CR 19 Lamesa, Texas",open,"G1 - G5, Administrative Segregation",mixed,2234,2234,,,,October 1992,1992,Couldn't find current population. ,,Texas Department of Criminal Justice,,,
Price Daniel Unit,https://en.wikipedia.org/wiki/Price_Daniel_Unit,"938 FM 1673 Snyder, Texas",open,"G1, G2, G4, Safekeeping",mixed,1384,1384,,,,August 1989,1989,Couldn't find current population. ,,Texas Department of Criminal Justice,,,
Ramsey Unit,https://en.wikipedia.org/wiki/Ramsey_Unit,"1100 FM 655 Rosharon, Texas 77583",Operational,"G1-G3, G5, Administrative Segregation, Outside Trusty",mixed,1891,1570,,,,July 1908,1908,Capacity listed is for main unit. Additional 321 for Trusty Camp. Couldn't find current population.,,TDCJ Correctional Institutions Division,,,
Ruben M. Torres Unit,https://en.wikipedia.org/wiki/Ruben_M._Torres_Unit,"125 Private Road 4303 Hondo, Texas",open,"G1, G2, G4",mixed,1384,1384,,,,January 1993,1993,Couldn't find current population. ,,Texas Department of Criminal Justice,,,
Rufe Jordan Unit,https://en.wikipedia.org/wiki/Rufe_Jordan_Unit,"1992 Helton Road Pampa, Texas",open,"G1, G2, G4, Transient",mixed,1008,1008,,,,October 1992,1992,Couldn't find current population. ,,Texas Department of Criminal Justice,,,
Stringfellow Unit,https://en.wikipedia.org/wiki/Stringfellow_Unit,"1200 FM 655 Rosharon, Texas 77583",Operational,"G1-G4, Outside Trusty",mixed,1212,893,,,,July 1908,1908,Capacity listed is for main unit. Additional 319 for Trusty Camp. Couldn't find current population.,,TDCJ Correctional Institutions Division,,,
"T.L. Roach, Jr. Unit",https://en.wikipedia.org/wiki/T.L._Roach_Jr._Unit,"15845 FM 164 Childress, Texas",open,"G1, G2, G4",mixed,1884,1884,,,,August 1991,1991,Couldn't find current population. ,,Texas Department of Criminal Justice,,,
Terrell Unit,https://en.wikipedia.org/wiki/Terrell_Unit,"1300 FM 655 Rosharon, Texas 77583",Operational,"G1-G3, Outside Trusty",mixed,1603,1389,,,,September 1983,1983,Capacity listed is for main unit. Additional 214 for Trusty Camp. Couldn't find current population.,,TDCJ Correctional Institutions Division,,,
Thomas Goree Unit,https://en.wikipedia.org/wiki/Thomas_Goree_Unit,"Huntsville, Texas",Operational,"G1-G3, Administrative Segregation, Outside Trusty, Transient",mixed,1321,1000,,,,1907,1907,Capacity listed is for main unit. Additional 321 for Trusty Camp. Couldn't find current population.,,TDCJ Correctional Institutions Division,,,
W.J. Estelle Unit,https://en.wikipedia.org/wiki/W.J._Estelle_Unit,"264 FM 3478Huntsville, Texas 77320-3320",Operational,"G1-G5, Administrative Segregation, Safekeeping, Substance Abuse, Geriatric, Transient Medical Facility: All levels requiring medical treatment",mixed,3480,3148,,,,June 1984,1984,"Additional Capacity: SAFP unit: 212, Regional Medical FacilityL 120. 

Could not find current population.",,TDCJ Correctional Institutions Division,,,
Wallace Pack Unit,https://en.wikipedia.org/wiki/Wallace_Pack_Unit,"2400 Wallace Pack RoadNavasota, Texas 77868",Operational,"G1-G3, Administrative Segregation, Outside Trusty",mixed,1478,1157,,,,September 1983,1983,Capacity listed is for main unit. Additional 321 for Trusty Camp. Couldn't find current population.,,TDCJ Correctional Institutions Division,,,
Wayne Scott Unit,https://en.wikipedia.org/wiki/Wayne_Scott_Unit,"6999 Retrieve Angleton, Texas 77515",Operational,"G1-G4, Administrative Segregation, Outside Trusty",mixed,1130,809,,,,September 1919,1919,Capacity listed is for main unit. Additional 321 for Trusty Camp. Couldn't find current population.,,TDCJ Correctional Institutions Division,,,
"William P. ""Bill"" Clements Unit",https://en.wikipedia.org/wiki/Clements_Unit,"9601 Spur 591 Amarillo, Texas 79107-9606",Operational,"G1-G5, Administrative Segregation, Mental Health (PAMIO)",mixed,3798,3798,,3700,2016,March 1990,1990,Couldn't find current population. ,,TDCJ Correctional Institutions Division,,,
William R. Boyd Unit,https://en.wikipedia.org/wiki/William_R._Boyd_Unit,"200 Spur 113Teague, Texas 75860-2007",Operational,"G1, G2, G4, Safekeeping",mixed,1372,1372,"1,346 (as of February 2017)",1346,2017,1992,1992,Couldn't find current population. ,,TDCJ Correctional Institutions Division,,,
Wynne Unit,https://en.wikipedia.org/wiki/Wynne_Unit,"810 FM 2821Huntsville, Texas 77349",Operational,"G1-G5,Outside Trusty",mixed,2621,2300,,,,1883,1883,Capacity listed is for main unit. Additional 321 for Trusty Camp. Couldn't find current population.,,TDCJ Correctional Institutions Division,,,
Central Utah Correctional Facility,https://en.wikipedia.org/wiki/Central_Utah_Correctional_Facility,"255 East 300 NorthGunnison, UtahUnited States",Operational,,mixed,1600,1600,,,,1990,1990,Utah's DOC site is...difficult. Can't find population,,Utah Department of Corrections,,,
Utah State Prison,https://en.wikipedia.org/wiki/Utah_State_Prison,"Draper, Utah",open,mixed,mixed,4000,4500,,,,1951,1951,Utah's DOC site is...difficult. Can't find population,,Utah Department of Corrections,Robert Powell,,
Buckingham Correctional Center,https://en.wikipedia.org/wiki/Buckingham_Correctional_Center,"1349 Correctional Center RoadDillwyn, Virginia[1]",operational,close custody,mixed,1100,1100,1038 (as of 2008),1123,2020,1982,1982,Population from January 2020: https://vadoc.virginia.gov/media/1490/vadoc-monthly-offender-population-report-2020-01.pdf,,Virginia Department of Corrections,Bernard W. Booker,,
Deerfield Correctional Center,https://en.wikipedia.org/wiki/Deerfield_Correctional_Center,"21360 Deerfield Road Capron, Virginia",mixed,,mixed,1069,1069,,1054,2020,1994,1994,Population from January 2020: https://vadoc.virginia.gov/media/1490/vadoc-monthly-offender-population-report-2020-01.pdf,,Virginia Department of Corrections,,,
Dillwyn Correctional Center,https://en.wikipedia.org/wiki/Dillwyn_Correctional_Center,"1522 Prison Road Dillwyn, Virginia",mixed,2,mixed,1106,1106,,905,2020,1993,1993,Population from January 2020: https://vadoc.virginia.gov/media/1490/vadoc-monthly-offender-population-report-2020-01.pdf,,Virginia Department of Corrections,,,
